"transaction_date","description","original_description","transaction_amount","transaction_type","category","account_name","labels","notes"
"11/25/2020","USAA CREDIT CARD PAYMENT","USAA CREDIT CARD PAYMENT","2500.00","credit","Credit Card Payment","Signature Visa","",""
"11/25/2020","USAA PAYROLL INT PENDING DIRECT DEPOSIT","USAA PAYROLL INT PENDING DIRECT DEPOSIT","3571.21","credit","Paycheck","USAA CLASSIC CHECKING","",""
"11/25/2020","USAA FUNDS TRANSFER DB TO ******8658","USAA FUNDS TRANSFER DB TO ******8658","4000.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/25/2020","USAA PAYROLL INT PENDING DIRECT DEPOSIT","USAA PAYROLL INT PENDING DIRECT DEPOSIT","300.00","credit","Paycheck","USAA CLASSIC CHECKING","",""
"11/25/2020","Usaa","USAA CREDIT CARD PAYMENT CARD ENDING IN 0827","2500.00","debit","Credit Card Payment","USAA CLASSIC CHECKING","",""
"11/25/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR ","4000.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"11/25/2020","Burger","Burger","10.00","credit","Income","Venmo","",""
"11/24/2020","Abuela","Abuela","105.00","debit","Restaurants","Venmo","",""
"11/24/2020","Friendship","Friendship","5.00","debit","Gas & Fuel","Venmo","",""
"11/23/2020","Taco Bell","TACO BELL 311000311050   WOODBRIDGE   VA DEBIT CARD PURCHASE","4.55","debit","Fast Food","USAA CLASSIC CHECKING","",""
"11/23/2020","Venmo","VENMO            PAYMENT    ***********2290 ACH WITHDRAWAL","53.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/23/2020","Venmo","VENMO            PAYMENT    ***********7623 ACH WITHDRAWAL","42.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/23/2020","Venmo","VENMO            PAYMENT    ***********1763 ACH WITHDRAWAL","2.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/23/2020","Venmo","VENMO            PAYMENT    ***********7478 ACH WITHDRAWAL","211.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/23/2020","AUTOFORTIVA payment AUTOPAY ***********6497 ACH WITHDRAWAL","AUTOFORTIVA PMT  AUTOPAY    ***********6497 ACH WITHDRAWAL","26.19","debit","Bills & Utilities","USAA CLASSIC CHECKING","",""
"11/22/2020","Netflix","Netflix.com 866-5797172 CA","9.73","credit","Movies & DVDs","Signature Visa","",""
"11/21/2020","Safeway","SAFEWAY 1331 WOODBRIDGE VA","12.59","debit","Groceries","Signature Visa","",""
"11/20/2020","Target","Target","2.00","debit","Shopping","Venmo","",""
"11/20/2020","Target","Target","53.00","debit","Shopping","Venmo","",""
"11/20/2020","B-Dubs and Gas","B-Dubs and Gas","42.00","debit","Restaurants","Venmo","",""
"11/20/2020","IKEA","Ikea","211.00","debit","Furnishings","Venmo","",""
"11/20/2020","NH-F and B-WALK UP BAR OXON HILL MD","NH-F and B-WALK UP BAR OXON HILL MD","17.00","debit","Alcohol & Bars","Signature Visa","",""
"11/20/2020","Netflix","Netflix.com 866-5797172 CA","9.73","debit","Movies & DVDs","Signature Visa","",""
"11/20/2020","SAKE JAPANESE STEAKHOUSE WOODBRIDGE VA","SAKE JAPANESE STEAKHOUSE WOODBRIDGE VA","44.26","debit","Restaurants","Signature Visa","",""
"11/20/2020","Robinhood","ROBINHOOD        Funds      ***********0451 ACH WITHDRAWAL","500.00","debit","Investments","USAA CLASSIC CHECKING","",""
"11/19/2020","GLOBAL FOOD WOODBRIDGE VA","GLOBAL FOOD WOODBRIDGE VA","97.73","debit","Groceries","Signature Visa","",""
"11/19/2020","AUTO SPA CAR WASH WOODBRIDGE VA","AUTO SPA CAR WASH WOODBRIDGE VA","25.00","debit","Service & Parts","Signature Visa","",""
"11/18/2020","USAA FUNDS TRANSFER DB TO ******8658","USAA FUNDS TRANSFER DB TO ******8658","1300.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/18/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR","1300.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"11/17/2020","Vivint","VIVINT INC/US 800-216-5232 UT","55.71","debit","Home Services","Signature Visa","",""
"11/17/2020","Spotify","Spotify USA 877-7781161 NY","10.81","debit","Music","Signature Visa","",""
"11/16/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR","1500.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"11/16/2020","USAA FUNDS TRANSFER DB TO ******8658","USAA FUNDS TRANSFER DB TO ******8658","400.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/16/2020","USPS","USPS PO 51987103 3360 POSWOODBRIDGE   VA   C POS DEBIT","221.25","debit","Shipping","USAA CLASSIC CHECKING","",""
"11/16/2020","Venmo","VENMO            PAYMENT    ***********3597 ACH WITHDRAWAL","8.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/16/2020","USAA FUNDS TRANSFER DB TO ******8631","USAA FUNDS TRANSFER DB TO ******8631","1500.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/16/2020","Venmo","VENMO            PAYMENT    ***********5623 ACH WITHDRAWAL","7.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/16/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR","400.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"11/15/2020","To Share 0015 MONEY MARKET Extra money","To Share 0015 MONEY MARKET","1000.00","debit","Groceries","REGULAR SAVINGS","",""
"11/15/2020","Share Regular Savingsextra","From Share 0000   REGULAR","1000.00","credit","Transfer","MONEY MARKET","",""
"11/14/2020","Taco Bell","Taco Bell","8.00","debit","Fast Food","Venmo","",""
"11/14/2020","Taco Bell","Taco Bell","7.00","debit","Fast Food","Venmo","",""
"11/14/2020","Safeway","SAFEWAY 1298 WOODBRIDGE VA","10.59","debit","Groceries","Signature Visa","",""
"11/14/2020","Panera Bread","PANERA BREAD #601186 WOODBRIDGE VA","45.86","debit","Fast Food","Signature Visa","",""
"11/13/2020","AT and T K008 9969 800-331-0500 PA","AT and T K008 9969 800-331-0500 PA","733.90","debit","Utilities","Signature Visa","",""
"11/12/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000029174283","USAA PAYROLL EXT : DIR DEP  ID:","320.00","credit","Paycheck","REGULAR SAVINGS","",""
"11/12/2020","USAA PAYROLL EXT : DIR DEP ID: USAA-PYRLLCO: USAA PAYROLL EXT %% ACH Trace 021000029174284","USAA PAYROLL EXT : DIR DEP  ID:","150.00","credit","Paycheck","MONEY MARKET","",""
"11/12/2020","INTEREST PAID","INTEREST PAID","0.01","credit","Interest Income","USAA CLASSIC CHECKING","",""
"11/12/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","300.00","credit","Paycheck","USAA CLASSIC CHECKING","",""
"11/12/2020","USAA PAYROLL INT DIR DEP ***********3240 ACH DEP","USAA PAYROLL INT DIR DEP    ***********3240 ACH DEP","178.48","credit","Paycheck","USAA CLASSIC CHECKING","",""
"11/12/2020","Coho Automotive, L.L.C.","COHO AUTOMOTIVE MANASSAS VA","1589.48","debit","Service & Parts","Signature Visa","",""
"11/12/2020","Vanguard","VANGUARD         EDI PYMNTS ***********5630 ACH WITHDRAWAL","0.63","debit","Financial","USAA CLASSIC CHECKING","",""
"11/11/2020","Dunkin Donuts","DD/BR #341545 Q35 LAKERIDGE VA","2.85","debit","Coffee Shops","Signature Visa","",""
"11/10/2020","VANGUARD EDI PYMNTS ***********5630 ACH DEP","VANGUARD         EDI PYMNTS ***********5630 ACH DEP","0.20","credit","Transfer","USAA CLASSIC CHECKING","",""
"11/10/2020","Venmo","VENMO            PAYMENT    ***********3553 ACH WITHDRAWAL","15.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/10/2020","Vanguard","VANGUARD BUY     INVESTMENT ***********4035 ACH WITHDRAWAL","1000.00","debit","Financial","USAA CLASSIC CHECKING","",""
"11/10/2020","VANGUARD EDI PYMNTS ***********5630 ACH DEP","VANGUARD         EDI PYMNTS ***********5630 ACH DEP","0.43","credit","Transfer","USAA CLASSIC CHECKING","",""
"11/10/2020","Vanguard","VANGUARD BUY     INVESTMENT ***********4035 ACH WITHDRAWAL","1000.00","debit","Financial","USAA CLASSIC CHECKING","",""
"11/09/2020","USAA FUNDS TRANSFER CR","USAA FUNDS TRANSFER CR","100.00","credit","Transfer","USAA CLASSIC CHECKING","",""
"11/09/2020","McDonald's","MCDONALD'S F5807 WOODBRIDGE VA","7.09","debit","Fast Food","Signature Visa","",""
"11/09/2020","Venmo","VENMO            PAYMENT    ***********3540 ACH WITHDRAWAL","20.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/09/2020","USAA FUNDS TRANSFER DB TO ******8631","USAA FUNDS TRANSFER DB TO ******8631","100.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/09/2020","Venmo","VENMO            PAYMENT    ***********7952 ACH WITHDRAWAL","200.00","debit","Transfer","USAA CLASSIC CHECKING","",""
"11/09/2020","A & A Insurance","USAA INSURANCE PAYMENT ACCOUNT NUMBER ENDING IN 0496","390.17","debit","Auto Insurance","USAA CLASSIC CHECKING","",""
"11/08/2020","IKEA","Ikea","15.00","debit","Furnishings","Venmo","",""
"11/08/2020","Dunkin Donuts","DD/BR #341545 Q35 LAKERIDGE VA","2.85","debit","Coffee Shops","Signature Visa","",""
"11/08/2020","LAF- WOODBRIDGE WOODBRIDGE VA","LAF- WOODBRIDGE WOODBRIDGE VA","74.98","debit","Health & Fitness","Signature Visa","",""
"11/08/2020","Safeway","SAFEWAY 1331 WOODBRIDGE VA","28.65","debit","Groceries","Signature Visa","",""
"11/08/2020","Amazon","AMZN Mktp US*284IY1SS0 Amzn.com/billWA","24.37","debit","Shopping","Signature Visa","",""
"11/07/2020","Gustavo Ranz Paid Nicolas Ranz","Gustavo Ranz Paid Nicolas Ranz","20.00","debit","Alcohol & Bars","Venmo","",""
"11/07/2020","LA JAROCHITA MANASSAS VA","LA JAROCHITA MANASSAS VA","29.77","debit","Restaurants","Signature Visa","",""
